source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
1618370619463553024,11.62441,12.125263,9.79333,2.331933,-22.758732,0.7030009,NOT_AVAILABLE,0,,,,,,0.99944246,,
1620288580060016384,13.849209,15.302482,12.114532,3.1879492,-1.8746321,7.42699,NOT_AVAILABLE,0,,,,,M,0.9998199,,
1623289903206300928,3.869275,4.1535764,3.4247763,0.72880006,-3.678585,7.1534524,NOT_AVAILABLE,0,6051.014,3.8246,9.490375,2.8029318,F,0.9988855,,
1624385699685942912,12.211432,13.707627,11.016454,2.6911736,-31.889244,0.34113905,NOT_AVAILABLE,0,,,,,M,0.99648726,,
1626972133288099456,12.574405,14.184463,11.337055,2.8474073,-7.3656545,0.3957487,NOT_AVAILABLE,0,,,,,M,0.9976672,,
1631420379376431488,14.046053,15.76805,12.794012,2.9740381,-16.31411,1.7039667,NOT_AVAILABLE,0,3118.7764,5.1003,0.0030894873,0.19036521,M,0.99861324,,
1631591147276525696,12.757077,14.608348,11.47096,3.1373882,-21.720098,0.80055666,NOT_AVAILABLE,0,3056.0022,5.016,0.0046528536,0.2433152,M,0.999712,,
1632113518378994304,17.026207,20.280994,15.467151,4.8138437,,,NOT_AVAILABLE,0,,,,,M,0.9999993,,
1633752714121739264,20.235542,21.583675,18.596338,2.987337,,,NOT_AVAILABLE,0,,,,,,0.9999964,,
1635111852228375168,14.373013,16.194115,13.096564,3.0975504,-9.377443,1.7850536,VARIABLE,0,,,,,M,0.9993886,,
1635375460142367104,4.7508183,4.998218,4.3218627,0.67635536,-20.669493,1.3900307,NOT_AVAILABLE,0,6169.928,4.0823,2.2784693,1.3209784,F,0.99861324,,
1637110042813188608,6.2235785,6.615514,5.6600223,0.95549154,-38.66246,0.13556544,NOT_AVAILABLE,0,5285.103,4.6087,0.40440637,0.7585067,G,0.99885,,
