source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,ruwe,ipd_frac_multi_peak,adoptedrv,adoptedrv_error,adoptedrv_refname,radial_velocity_is_valid,gcns_prob,wd_prob,dist_1,dist_16,dist_50,dist_84,xcoord_16,xcoord_50,xcoord_84,ycoord_16,ycoord_50,ycoord_84,zcoord_16,zcoord_50,zcoord_84
2611561706216413696,343.48356406407754,-6.784830206077555,0.029973496,0.028107641,117.13884,0.03412185,2485.7988,0.03816274,-681.2536,0.04036945,15.421229,16.081415,14.661167,1.2425063,0.9293217,0,,,,0,1.0,0.76055557,0.008531357,0.008534413,0.008537062,0.0085394895,2.1463087,2.146975,2.1475854,4.3331766,4.334522,4.3357544,-7.032293,-7.034476,-7.0364757
2627117287488522240,332.4231515660494,-4.64083481515791,0.02714529,0.028341614,113.444725,0.029997606,1132.5833,0.038505677,-22.157307,0.037164405,9.237196,10.61174,8.070007,1.4378322,1.353798,6,-32.092,33.875,2017AJ....153...75K,0,1.0,0.118019484,0.008809203,0.008812403,0.0088149095,0.008817247,3.4693244,3.470311,3.4712312,5.1231227,5.12458,5.1259384,-6.275018,-6.276803,-6.278467
2640434056928150400,353.7970694377148,-2.3927993943668993,0.039938845,0.030558001,139.3389,0.04413923,781.41864,0.053010795,-841.51605,0.03575098,12.623748,14.952096,11.245876,1.5824207,1.1472371,0,-10.384,3.145,2015ApJS..220...16T,0,1.0,0.12853536,0.007171281,0.0071744346,0.007176751,0.007178977,0.43036708,0.43050602,0.43063956,3.6419137,3.6430895,3.6442196,-6.166341,-6.1683316,-6.170245
2739689239311660672,357.3066038231343,2.3969179441959985,0.025372215,0.016018208,169.21632,0.028058065,992.7204,0.035269726,-968.80646,0.019325616,8.152917,9.216571,7.120805,1.3613464,1.1554246,0,-71.78523,0.16820572,2018A&A...616A...1G,1,1.0,0.15853776,0.0059072645,0.005908722,0.005909709,0.0059106746,-0.20086011,-0.20089366,-0.20092648,3.221771,3.2223089,3.2228355,-4.9490247,-4.949851,-4.9506598
2794735086363871360,9.07135464103575,18.35341013813914,0.10821333,0.07686763,114.473465,0.13814536,901.5821,0.16374524,124.353714,0.12230506,17.521132,20.44291,15.909052,1.9071672,0.9693718,0,19.02,0.15,2010ApJ...723..684B,0,1.0,0.031944446,0.0087118065,0.008725749,0.008735921,0.008746347,-2.9186442,-2.9220467,-2.925534,5.5125027,5.518929,5.5255156,-6.101846,-6.1089597,-6.1162505
2824770686019003904,352.97012375450475,19.93699282660293,0.027961435,0.020510225,159.66339,0.03412789,578.00867,0.035451487,-59.768604,0.02324439,9.043998,10.507311,7.8463645,1.4568522,1.3173962,1,-0.016792849,0.31310865,2018A&A...616A...1G,1,1.0,0.065109424,0.006150843,0.006150843,0.006262792,0.0062642978,-0.711588,-0.72453934,-0.72471356,4.7170453,4.802898,4.8040533,-3.8827817,-3.9534504,-3.9544013
2824770686019004032,352.9716753030632,19.937313746866927,0.04270617,0.030963205,159.90846,0.051349618,552.3494,0.055147033,20.274609,0.036104545,10.828941,12.704212,9.530133,1.5212379,1.5881655,6,3.34,0.15,2008MNRAS.390..567M,0,1.0,0.07066498,0.006249016,0.0062516974,0.0062536434,0.006255658,-0.72341144,-0.7236366,-0.72386974,4.794348,4.79584,4.7973847,-3.9464705,-3.9476988,-3.9489706
2828928008202069376,344.1402217312129,16.55216937227734,0.021951057,0.019194853,145.62341,0.025450103,-1034.7334,0.026007721,-284.13086,0.025290629,7.795021,8.898596,6.7477736,1.3668052,1.0549177,1,-27.993563,0.15685655,2018A&A...616A...1G,1,1.0,0.16560365,0.0068640965,0.006865629,0.0068668528,0.006868028,0.27714399,0.2771934,0.27724084,5.389093,5.3900537,5.3909764,-4.2447295,-4.2454863,-4.246213
2886233695250041216,91.21742524933883,-34.558412822381825,0.024799287,0.025077086,115.39816,0.029826276,25.786724,0.032550856,343.0177,0.034952305,11.112143,13.174277,9.773951,1.5522846,1.1759074,5,22.4,0.3,2011AJ....142..104R,0,1.0,0.0678872,0.008660276,0.008663449,0.008665561,0.0086678155,-3.8443322,-3.8452692,-3.8462698,-6.9188423,-6.920529,-6.9223294,-3.5222263,-3.5230849,-3.5240016
2940856402123426176,92.64357908167638,-21.86782311323394,0.008222482,0.013698905,173.57399,0.017049566,-135.6916,0.010703687,-719.17816,0.01708214,7.3134713,8.365829,6.291551,1.3540184,1.0134844,0,4.022352,0.16217239,2018A&A...616A...1G,1,1.0,0.21234067,0.0056676683,0.0056676683,0.005722742,0.0057615996,-3.554566,-3.5891063,-3.6134763,-4.0340123,-4.0732117,-4.1008687,-1.7928387,-1.8102602,-1.8225517
