source_id,designation,ref_epoch,ra,dec,parallax,parallax_error,parallax_over_error,astrometric_params_solved,visibility_periods_used,ruwe,phot_g_mean_mag,bp_rp
35227046884571776,Gaia DR3 35227046884571776,2016.0,43.26964247679057,16.86437381897744,260.98844068047276,0.09342672,2793.5095,31,13,1.3042897,12.263103,4.5285025
385334196532776576,Gaia DR3 385334196532776576,2016.0,4.625300681217554,44.02874451664357,280.6947310460246,0.027839076,10082.761,31,22,1.1803766,9.686646,2.8360271
385334230892516480,Gaia DR3 385334230892516480,2016.0,4.613226257557736,44.02478674398518,280.706821579123,0.020284552,13838.454,31,22,1.0384927,7.218567,2.164384
425040000962497792,Gaia DR3 425040000962497792,2016.0,12.281184764215306,57.815739188554126,168.71856118825883,0.021581342,7817.7974,95,23,1.0389044,6.762044,1.7540107
470826482637310080,Gaia DR3 470826482637310080,2016.0,67.80919062832808,58.967979971547436,181.24383901243414,0.049853016,3635.5642,95,21,1.2182512,9.702565,2.8958826
470826482637310848,Gaia DR3 470826482637310848,2016.0,67.81389197465391,58.969481205135885,181.2730074917688,0.02025858,8947.963,95,21,0.92638206,12.33619,0.44229984
625453654702751872,Gaia DR3 625453654702751872,2016.0,154.89881370110675,19.869809905451323,201.40642101948626,0.0296157,6800.6636,31,15,1.1544943,8.204091,2.564643
703790044252850688,Gaia DR3 703790044252850688,2016.0,127.45009240230564,26.77328596508202,279.2496391012477,0.06372576,4382.0522,31,18,1.1545533,12.167455,4.3975945
762815470562110464,Gaia DR3 762815470562110464,2016.0,165.83095967577933,35.948653032660104,392.75294543876464,0.03206665,12248.019,95,16,0.9638494,6.551172,2.2156086
778947608243864320,Gaia DR3 778947608243864320,2016.0,166.35208967877313,43.52590762036144,203.83234385738783,0.050037432,4073.5972,31,18,1.0334092,12.257253,3.8549728
778947814402602752,Gaia DR3 778947814402602752,2016.0,166.34205974427476,43.53094856108456,203.8875927696954,0.033240344,6133.739,95,17,0.9393333,7.912665,2.104178
823773494718931968,Gaia DR3 823773494718931968,2016.0,152.8329289582321,49.451988897100506,205.31478196510724,0.02237224,9177.212,31,19,0.94332755,5.9611735,1.7223029
939072613334579328,Gaia DR3 939072613334579328,2016.0,103.70012922713916,33.266408018167255,179.06293491259635,0.027963677,6403.4116,31,14,1.1459758,8.863551,2.5611715
946632924007399936,Gaia DR3 946632924007399936,2016.0,107.50514340448903,38.52526941964586,165.2146994337292,0.06364261,2595.976,95,17,1.1360852,9.934659,3.105956
1129149723913123456,Gaia DR3 1129149723913123456,2016.0,176.9394079814786,78.69329745305299,190.32514271529305,0.019362431,9829.609,31,26,1.284949,9.551337,2.701994
1637645127018395776,Gaia DR3 1637645127018395776,2016.0,264.1040525731971,68.3334976375916,219.78977211974913,0.021020047,10456.198,31,24,1.2150519,8.02864,2.518117
1695191332232990720,Gaia DR3 1695191332232990720,2016.0,226.70263614661923,70.46161913358111,193.9412326077981,0.6277344,308.95428,95,24,1.3111067,20.199528,3.4400425
1872046574983497216,Gaia DR3 1872046574983497216,2016.0,316.753662752556,38.75607277205679,286.0053518616485,0.028940246,9882.616,31,25,0.9611461,5.4506445,1.7153406
1872046609345556480,Gaia DR3 1872046609345556480,2016.0,316.7484792940004,38.76386244649797,285.99494829578117,0.05989728,4774.757,95,24,1.2043179,4.766713,1.4625897
1926461164913660160,Gaia DR3 1926461164913660160,2016.0,355.4800152581559,44.170375700747755,316.48118678226916,0.044448785,7120.1313,31,20,1.0273284,10.379277,3.5294142
1934263333784036736,Gaia DR3 1934263333784036736,2016.0,341.7028254522359,44.3319533233193,197.95730094675557,0.021990642,9001.889,31,25,1.104833,9.005235,2.7301593
2091177593123254016,Gaia DR3 2091177593123254016,2016.0,278.90744884954285,32.994787158699616,175.79296679952537,0.046801604,3756.131,31,28,1.0964748,14.850962,5.1506624
2154880616774131712,Gaia DR3 2154880616774131712,2016.0,280.68308624583415,59.635145454818776,283.8377678450057,0.028684631,9895.117,95,26,1.312914,8.524704,2.625472
2154880616774131840,Gaia DR3 2154880616774131840,2016.0,280.6830708352289,59.638357907754816,283.8401180184389,0.021992655,12906.132,95,25,1.0079373,7.854393,2.4610577
2358524597030794112,Gaia DR3 2358524597030794112,2016.0,18.13325425370941,-16.996154872479234,269.05730465038937,0.03366602,7991.9546,31,17,1.0011495,10.436525,3.1970692
2441630500517079808,Gaia DR3 2441630500517079808,2016.0,1.6763504259443918,-7.5464753252597605,206.35003920573322,0.04744553,4349.1987,31,17,1.3369209,11.773832,3.6749277
2552928187080872832,Gaia DR3 2552928187080872832,2016.0,12.296740250462333,5.376556608426358,231.7799995322092,0.018272836,12684.403,31,16,1.2103684,12.299163,0.5975876
2572901021957789568,Gaia DR3 2572901021957789568,2016.0,24.24124978791965,9.563070454755835,163.44784569658697,0.4628947,353.0994,95,15,1.1058807,19.461197,3.4663029
2603090003484152064,Gaia DR3 2603090003484152064,2016.0,343.3241110018443,-14.266689393516607,214.0379888743159,0.035619885,6008.947,31,13,1.3398496,8.875059,2.8092842
2739689239311660672,Gaia DR3 2739689239311660672,2016.0,357.3066038231343,2.3969179441959985,169.21632962255026,0.028058065,6030.9336,31,16,1.1554246,8.152917,2.095766
2940856402123426176,Gaia DR3 2940856402123426176,2016.0,92.64357908167638,-21.86782311323394,173.57398583239672,0.017049566,10180.552,31,26,1.0134844,7.3134713,2.0742784
3136952686035250688,Gaia DR3 3136952686035250688,2016.0,116.1658359308822,3.5504844454883244,166.97689652666736,0.034340866,4862.338,31,18,1.3503697,9.692206,2.997038
3139847906307949696,Gaia DR3 3139847906307949696,2016.0,111.85462844259372,5.209382701706996,264.12689775460655,0.04127979,6398.4556,95,15,1.2387705,8.576388,2.7577581
3187115498866675456,Gaia DR3 3187115498866675456,2016.0,75.4868052125233,-6.948587409027854,186.04662779359126,0.027749853,6704.4185,31,21,1.1008298,10.649305,3.0327492
3195919254111315712,Gaia DR3 3195919254111315712,2016.0,63.830787524383176,-7.672952135407352,199.6910732720413,0.05120331,3899.964,95,18,1.1953526,9.54224,-0.1910038
3209938366665770752,Gaia DR3 3209938366665770752,2016.0,82.86754111476276,-3.6865276019053095,175.31313655111924,0.020392798,8596.816,31,20,0.96368384,7.1082892,2.121859
3316364602541746048,Gaia DR3 3316364602541746048,2016.0,90.01597644159976,2.7063740799024933,192.01346218785218,0.03095804,6202.378,31,16,1.0857981,9.901327,2.8903284
3340477717172813568,Gaia DR3 3340477717172813568,2016.0,85.547707594821,12.482359917793618,172.67623105398982,0.028589318,6039.886,31,19,1.114727,10.11378,2.8699055
3741297293732404352,Gaia DR3 3741297293732404352,2016.0,206.4405658448607,14.885052704598573,183.99619525468464,0.025324116,7265.6514,31,17,1.0476037,7.6105833,2.1149225
